Movie Name,Genre,Ratings,Voting Counts,Duration
Gazer,Thriller,6.1, 113,1h 54m
Take Cover,Thriller,5.1, 2.4K,1h 30m
Black Cab,Thriller,4.2, 1.7K,1h 28m
Devara Part 1,Thriller,6.0, 20K,2h 56m
Depravity,Thriller,4.3, 973,1h 57m
Levels,Thriller,5.0, 1.5K,1h 33m
Prey,Thriller,3.7, 3.3K,1h 26m
Singham Again,Thriller,4.8, 75K,2h 24m
Hard Home,Thriller,4.0, 613,1h 27m
Bangkok Dog,Thriller,4.9, 155,1h 25m
The Thundermans Return,Thriller,5.0, 1.8K,1h 10m
The Shameless,Thriller,5.7, 214,1h 54m
Colors of Evil: Red,Thriller,6.4, 8.4K,1h 51m
Bad Genius,Thriller,6.2, 2.2K,1h 36m
Night Call,Thriller,6.8, 1.9K,1h 37m
Sookshma Darshini,Thriller,7.8, 9.9K,2h 22m
The Roundup: Punishment,Thriller,6.6, 5.2K,1h 49m
Detained,Thriller,4.9, 1.5K,1h 37m
Thalavan,Thriller,7.2, 4.6K,2h 11m
Something in the Water,Thriller,4.1, 4.6K,1h 26m
The Correspondent,Thriller,8.5, 25,1h 59m
In Flight,Thriller,4.4, 96,1h 31m
Jigra,Thriller,6.0, 23K,2h 33m
Strictly Confidential,Thriller,2.8, 840,1h 34m
Justicia artificial,Thriller,5.6, 453,1h 38m
Maharaj,Thriller,6.5, 15K,2h 11m
Deep Six,Thriller,3.4, 233,1h 34m
"I, the Executioner",Thriller,6.3, 1.7K,1h 58m
Goldilocks and the Three Bears: Death and Porridge,Thriller,2.1, 1.6K,1h 22m
The Price of Money: A Largo Winch Adventure,Thriller,5.0, 1.1K,1h 40m
Queen of Bones,Thriller,5.1, 143,1h 30m
Outbreak,Thriller,4.4, 827,1h 28m
Bedspacer,Thriller,4.4, 336,1h 30m
Badland Hunters,Thriller,5.9, 12K,1h 47m
You Can't Run Forever,Thriller,4.5, 4.3K,1h 42m
The Clean Up Crew,Thriller,4.1, 1.1K,1h 35m
Shelby Oaks,Thriller,6.0, 242,1h 39m
The Sand Castle,Thriller,4.7, 1.7K,1h 38m
Death Whisperer 2,Thriller,6.4, 1.3K,1h 50m
Bougainvillea,Thriller,6.4, 3.1K,2h 18m
Reawakening,Thriller,6.3, 323,1h 30m
Code 8: Part II,Thriller,5.7, 16K,1h 40m
The Body,Thriller,6.1, 223,1h 56m
