Movie Name,Genre,Ratings,Voting Counts,Duration
Everybody Loves Jenifa,Action,8.3, 83,2h 15m
Pimpinero: Blood and Oil,Action,5.6, 544,2h 1m
The Friendly,Action,8.1, 15,1h 41m
Ka Whawhai Tonu,Action,7.4, 176,1h 55m
Razakar: The Silent Genocide of Hyderabad,Action,7.4, 5.3K,2h 46m
Guntur Karam,Action,5.4, 25K,2h 39m
Tillu Square,Action,6.6, 3.4K,2h 17m
Sons of Rizk 3,Action,6.7, 1.7K,2h 5m
UI,Action,6.9, 5.7K,2h 15m
The Last of Us: Immunity,Action,5.8, 14,1h 4m
Mission: Cross,Action,6.1, 2.6K,1h 45m
Sunset Superman,Action,6.0, 151,1h 21m
Hunting with Tigers,Action,5.6, 524,1h 49m
Kingdom 4: Return of the Great General,Action,7.1, 1.3K,2h 25m
Ayalaan,Action,6.0, 4K,2h 35m
The Moon Thieves,Action,6.1, 246,1h 48m
Mura,Action,7.3, 6.2K,2h 9m
The Charisma Killers,Action,6.2, 653,1h 41m
Customs Frontline,Action,5.4, 481,1h 55m
Citizen of a Kind,Action,6.7, 795,1h 54m
Auron Mein Kahan Dum Tha,Action,6.6, 41K,2h 30m
Barroz,Action,3.5, 989,2h 35m
Bureau 749,Action,4.1, 521,2h 3m
Eagle,Action,5.9, 4.9K,2h 39m
Je jatt Vigarh gya,Action,5.7, 821,2h 12m
The Plot,Action,4.8, 375,1h 40m
School of Magical Animals 3,Action,5.9, 307,1h 45m
Cassino in Ischia,Action,4.4, 239,1h 53m
Snatched,Action,4.9, 209,1h 41m
Hunt the Wicked,Action,5.3, 109,1h 42m
Deaner '89,Action,5.9, 416,1h 30m
Cells at Work!,Action,6.8, 194,1h 49m
Lady Scorpions,Action,3.6, 367,1h 41m
Kondal,Action,5.4, 766,2h 27m
Sabari,Action,8.4, 5.4K,2h 9m
The Unbreakable Bunch,Action,7.2, 26,R
Sasan,Action,8.6, 67,2h 35m
The Actor,Action,3.3, 726,2h 8m
Taken from Rio Bravo,Action,3.0, 312,1h 20m
Xiong Shi Shao Nian 2,Action,7.5, 200,2h 14m
Crakk - Jeethegaa Toh Jiyegaa!,Action,4.7, 6.5K,2h 34m
